city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Zürich,47.3744,8.5411,Switzerland,CH,Zürich,admin,447082,447082
Geneva,46.2017,6.1469,Switzerland,CH,Genève,admin,203840,203840
Basel,47.5547,7.5906,Switzerland,CH,Basel-Stadt,admin,173552,173552
Lausanne,46.5198,6.6335,Switzerland,CH,Vaud,admin,141418,141418
Bern,46.9481,7.4475,Switzerland,CH,Bern,primary,134506,134506
Winterthur,47.4989,8.7286,Switzerland,CH,Zürich,minor,109775,109775
Lucerne,47.0500,8.3000,Switzerland,CH,Luzern,admin,81691,81691
Sankt Gallen,47.4242,9.3708,Switzerland,CH,Sankt Gallen,admin,75833,75833
Biel/Bienne,47.1333,7.2500,Switzerland,CH,Bern,,55159,55159
Bellinzona,46.1954,9.0297,Switzerland,CH,Ticino,admin,43785,43785
Thun,46.7667,7.6333,Switzerland,CH,Bern,minor,43734,43734
Fribourg,46.8000,7.1500,Switzerland,CH,Fribourg,admin,38365,38365
Uster,47.3500,8.7167,Switzerland,CH,Zürich,minor,36791,36791
Schaffhausen,47.7000,8.6333,Switzerland,CH,Schaffhausen,admin,36587,36587
Chur,46.8500,9.5333,Switzerland,CH,Graubünden,admin,35038,35038
Vernier,46.2000,6.1000,Switzerland,CH,Genève,,34774,34774
Sion,46.2311,7.3594,Switzerland,CH,Valais,admin,34708,34708
Neuchâtel,47.0000,6.9333,Switzerland,CH,Neuchâtel,admin,33475,33475
Zug,47.1681,8.5169,Switzerland,CH,Zug,admin,30542,30542
Yverdon-les-Bains,46.7785,6.6408,Switzerland,CH,Vaud,minor,30157,30157
Emmen,47.0833,8.3000,Switzerland,CH,Luzern,,29292,29292
Dübendorf,47.4167,8.6167,Switzerland,CH,Zürich,,28002,28002
Rapperswil-Jona,47.2167,8.8167,Switzerland,CH,Sankt Gallen,minor,26995,26995
Dietikon,47.4000,8.4000,Switzerland,CH,Aargau,,26936,26936
Wetzikon,47.3167,8.8000,Switzerland,CH,Zürich,,24452,24452
Meyrin,46.2167,6.0667,Switzerland,CH,Genève,,24144,24144
Carouge,46.1833,6.1333,Switzerland,CH,Genève,,22336,22336
Frauenfeld,47.5500,8.9000,Switzerland,CH,Thurgau,admin,22313,22313
Kreuzlingen,47.6333,9.1667,Switzerland,CH,Thurgau,minor,21801,21801
Wädenswil,47.2333,8.6667,Switzerland,CH,Zürich,,21716,21716
Aarau,47.4000,8.0500,Switzerland,CH,Aargau,admin,21503,21503
Riehen,47.5833,7.6333,Switzerland,CH,Basel-Stadt,,21448,21448
Allschwil,47.5500,7.5333,Switzerland,CH,Basel-Landschaft,,21150,21150
Renens,46.5333,6.5833,Switzerland,CH,Vaud,minor,20927,20927
Wettingen,47.4667,8.3333,Switzerland,CH,Aargau,,20843,20843
Nyon,46.3833,6.2333,Switzerland,CH,Vaud,,20272,20272
Bülach,47.5167,8.5333,Switzerland,CH,Zürich,,20046,20046
Vevey,46.4667,6.8500,Switzerland,CH,Vaud,,19891,19891
Opfikon,47.4333,8.5667,Switzerland,CH,Zürich,,19864,19864
Reinach,47.4833,7.5833,Switzerland,CH,Basel-Landschaft,,19144,19144
Baden,47.4667,8.3000,Switzerland,CH,Aargau,,19122,19122
Onex,46.1833,6.1000,Switzerland,CH,Genève,,18977,18977
Schlieren,47.4000,8.4500,Switzerland,CH,Zürich,,18731,18731
Adliswil,47.3167,8.5333,Switzerland,CH,Zürich,,18731,18731
Volketswil,47.3833,8.7000,Switzerland,CH,Zürich,,18615,18615
Thalwil,47.2833,8.5667,Switzerland,CH,Zürich,,18525,18525
Olten,47.3500,7.9000,Switzerland,CH,Solothurn,,18362,18362
Pully,46.5167,6.6667,Switzerland,CH,Vaud,,18313,18313
Regensdorf,47.4333,8.4667,Switzerland,CH,Zürich,,18253,18253
Ostermundigen,46.9550,7.4894,Switzerland,CH,Bern,,17751,17751
Littau,47.0500,8.2667,Switzerland,CH,Luzern,,17224,17224
Solothurn,47.2167,7.5333,Switzerland,CH,Solothurn,admin,16777,16777
Pratteln,47.5167,7.7000,Switzerland,CH,Basel-Landschaft,,16621,16621
Freienbach,47.2000,8.7500,Switzerland,CH,Schwyz,,16391,16391
Wallisellen,47.4167,8.6000,Switzerland,CH,Zürich,,16315,16315
Wohlen,47.3500,8.2833,Switzerland,CH,Aargau,,16078,16078
Herisau,47.3833,9.2667,Switzerland,CH,Appenzell Ausserrhoden,admin,15744,15744
Steffisburg,46.7667,7.6333,Switzerland,CH,Bern,,15709,15709
Morges,46.5167,6.5000,Switzerland,CH,Vaud,,15705,15705
Binningen,47.5333,7.5667,Switzerland,CH,Basel-Landschaft,,15675,15675
Schwyz,47.0167,8.6500,Switzerland,CH,Schwyz,admin,15181,15181
Arbon,47.5167,9.4333,Switzerland,CH,Thurgau,,14537,14537
Liestal,47.4667,7.7333,Switzerland,CH,Basel-Landschaft,admin,14390,14390
Stäfa,47.2400,8.7300,Switzerland,CH,Zürich,,14389,14389
Küsnacht,47.3167,8.5833,Switzerland,CH,Zürich,,14387,14387
Thônex,46.1833,6.1833,Switzerland,CH,Genève,,14122,14122
Meilen,47.2667,8.6333,Switzerland,CH,Zürich,,13999,13999
Versoix,46.2833,6.1667,Switzerland,CH,Genève,,13422,13422
Richterswil,47.2167,8.7000,Switzerland,CH,Zürich,,13407,13407
Zollikon,47.3333,8.5833,Switzerland,CH,Zürich,,13367,13367
Gland,46.4200,6.2700,Switzerland,CH,Vaud,,13106,13106
Muri,46.9333,7.4833,Switzerland,CH,Bern,,13054,13054
Ecublens,46.5333,6.5667,Switzerland,CH,Vaud,,12854,12854
Delémont,47.3667,7.3500,Switzerland,CH,Jura,admin,12682,12682
Prilly,46.5333,6.6000,Switzerland,CH,Vaud,,12399,12399
Chêne-Bougeries,46.1833,6.1833,Switzerland,CH,Genève,,12215,12215
Rüti,47.2667,8.8500,Switzerland,CH,Zürich,,12170,12170
Le Grand-Saconnex,46.2333,6.1167,Switzerland,CH,Genève,,12162,12162
Münchenstein,47.5167,7.6167,Switzerland,CH,Basel-Landschaft,,12096,12096
Villars-sur-Glâne,46.7833,7.1167,Switzerland,CH,Fribourg,,12092,12092
La Tour-de-Peilz,46.4500,6.8667,Switzerland,CH,Vaud,,11829,11829
Spreitenbach,47.4167,8.3667,Switzerland,CH,Aargau,,11788,11788
Veyrier,46.1667,6.1833,Switzerland,CH,Genève,,11609,11609
Bassersdorf,47.4500,8.6333,Switzerland,CH,Zürich,,11593,11593
Männedorf,47.2500,8.6833,Switzerland,CH,Zürich,,11242,11242
Romanshorn,47.5667,9.3833,Switzerland,CH,Thurgau,,11167,11167
